subjectCode,classCode
BIO2043 CLCCNS,['BIO2043 CLCCNS']
BIO2044,['BIO2044']
BIO2045,"['BIO2045 1', 'BIO2045 2']"
BIO2045E CLCCNS,"['BIO2045E 1CLCCNS', 'BIO2045E 2CLCCNS', 'BIO2045E 3CLCCNS']"
BIO2088,"['BIO2088 1', 'BIO2088 2', 'BIO2088 3', 'BIO2088 4']"
BIO2089 TNS,['BIO2089 TNS']
BIO2092,['BIO2092']
BIO2127 CLCCNS,"['BIO2127 1CLCCNS', 'BIO2127 2CLCCNS']"
BIO2201,"['BIO2201 1', 'BIO2201 2', 'BIO2201 3', 'BIO2201 4']"
BIO2202,"['BIO2202 1', 'BIO2202 2', 'BIO2202 3', 'BIO2202 4', 'BIO2202 5', 'BIO2202 6', 'BIO2202 7', 'BIO2202 8']"
BIO2203,"['BIO2203 1', 'BIO2203 2', 'BIO2203 3', 'BIO2203 4', 'BIO2203 5', 'BIO2203 6', 'BIO2203 7']"
BIO2204,"['BIO2204 1', 'BIO2204 2', 'BIO2204 3', 'BIO2204 4']"
BIO2205 CLCCNS,['BIO2205 CLCCNS']
BIO2206,"['BIO2206 1', 'BIO2206 2', 'BIO2206 3']"
BIO2208,['BIO2208 1']
BIO2210,"['BIO2210 1', 'BIO2210 2', 'BIO2210 3', 'BIO2210 4', 'BIO2210 5', 'BIO2210 6']"
BIO2210 CLCRHM,"['BIO2210 7CLCRHM', 'BIO2210 8CLCRHM']"
BIO2215E CLCCNS,"['BIO2215E 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2215E 3CLCCNS', 'BIO2215E 4CLCCNS', 'BIO2215E 5CLCCNS', 'BIO2215E 6CLCCNS']"
BIO2218,['BIO2218 1']
BIO2218 CLCCNS,"['BIO2218 10CLCCNS', 'BIO2218 11CLCCNS', 'BIO2218 12CLCCNS', 'BIO2218 13CLCCNS']"
BIO2218,"['BIO2218 2', 'BIO2218 3', 'BIO2218 4', 'BIO2218 5', 'BIO2218 6', 'BIO2218 7']"
BIO2218 CLCCNS,"['BIO2218 8CLCCNS', 'BIO2218 9CLCCNS']"
BIO2218E QTS,['BIO2218E QTS']
BIO2220,"['BIO2220 1', 'BIO2220 2', 'BIO2220 3', 'BIO2220 4']"
BIO2223,['BIO2223 2']
BIO2223 TNS,['BIO2223 TNS']
BIO2224 TNS,['BIO2224 TNS']
BIO2400 CLCCNS,"['BIO2400 1CLCCNS', 'BIO2400 2CLCCNS']"
BIO2400E CLCCNS,"['BIO2400E 1CLCCNS', 'BIO2400E 2CLCCNS', 'BIO2400E 3CLCCNS', 'BIO2400E 4CLCCNS', 'BIO2400E 5CLCCNS', 'BIO2400E 6CLCCNS']"
BIO2403E CLCCNS,"['BIO2403E 1CLCCNS', 'BIO2403E 2CLCCNS', 'BIO2403E 3CLCCNS', 'BIO2403E 4CLCCNS', 'BIO2403E 5CLCCNS', 'BIO2403E 6CLCCNS', 'BIO2403E 7CLCCNS', 'BIO2403E 8CLCCNS', 'BIO2403E 9CLCCNS']"
BIO2405E QTS,['BIO2405E QTS']
BIO2504 TNS,['BIO2504 TNS']
BIO2514 CLCCNS,"['BIO2514 1CLCCNS', 'BIO2514 2CLCCNS']"
BIO2516 CLCCNS,"['BIO2516 1CLCCNS', 'BIO2516 2CLCCNS', 'BIO2516 3CLCCNS', 'BIO2516 4CLCCNS', 'BIO2516 5CLCCNS', 'BIO2516 6CLCCNS']"
BIO2800 CLCCNS,"['BIO2800 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO2800 3CLCCNS', 'BIO2800 4CLCCNS', 'BIO2800 5CLCCNS', 'BIO2800 6CLCCNS']"
BIO3001,['BIO3001']
BIO3098,['BIO3098']
BIO3099,['BIO3099']
BIO3169,['BIO3169']
BIO3178 CLCCNS,"['BIO3178 1CLCCNS', 'BIO3178 2CLCCNS', 'BIO3178 3CLCCNS', 'BIO3178 4CLCCNS', 'BIO3178 5CLCCNS', 'BIO3178 6CLCCNS', 'BIO3178 7CLCCNS', 'BIO3178 8CLCCNS', 'BIO3178 9CLCCNS']"
BIO3182 CLCCNS,"['BIO3182 1CLCCNS', 'BIO3182 2CLCCNS', 'BIO3182 3CLCCNS', 'BIO3182 4CLCCNS', 'BIO3182 5CLCCNS', 'BIO3182 6CLCCNS']"
BIO3190,['BIO3190']
BIO3191,['BIO3191']
BIO3201,"['BIO3201 1', 'BIO3201 2', 'BIO3201 3', 'BIO3201 4']"
BIO3227E QTS,['BIO3227E QTS']
BIO3245,['BIO3245']
BIO3246,['BIO3246']
BIO3252,"['BIO3252 1', 'BIO3252 2', 'BIO3252 3']"
BIO3252E QTS,['BIO3252E QTS']
BIO3257 TNS,['BIO3257 TNS']
BIO3258,"['BIO3258 1', 'BIO3258 2', 'BIO3258 3']"
BIO3258E QTS,['BIO3258E QTS']
BIO3262 TNS,"['BIO3262 1TNS', 'BIO3262 2TNS']"
BIO3263 TNS,['BIO3263 TNS']
BIO3301 CLCCNS,"['BIO3301 1CLCCNS', 'BIO3301 2CLCCNS']"
BIO3302,"['BIO3302 1', 'BIO3302 2', 'BIO3302 3', 'BIO3302 4']"
BIO3302E CLCCNS,"['BIO3302E 1CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3302E 3CLCCNS', 'BIO3302E 4CLCCNS', 'BIO3302E 5CLCCNS', 'BIO3302E 6CLCCNS']"
BIO3303,"['BIO3303 1', 'BIO3303 2', 'BIO3303 3', 'BIO3303 4']"
BIO3304,"['BIO3304 1', 'BIO3304 2', 'BIO3304 3', 'BIO3304 4']"
BIO3330 CLCCNS,['BIO3330 CLCCNS']
BIO3345 CLCCNS,['BIO3345 CLCCNS']
BIO3356 CLCCNS,"['BIO3356 1CLCCNS', 'BIO3356 2CLCCNS', 'BIO3356 3CLCCNS', 'BIO3356 4CLCCNS', 'BIO3356 5CLCCNS', 'BIO3356 6CLCCNS']"
BIO3370E QTS,['BIO3370E QTS']
BIO3372E QTS,['BIO3372E QTS']
BIO3373 TNS,"['BIO3373 1TNS', 'BIO3373 2TNS']"
BIO3377 TNS,['BIO3377 TNS']
BIO3400E QTS,"['BIO3400E 1QTS', 'BIO3400E 2QTS']"
BIO3401E QTS,['BIO3401E QTS']
BIO3403E QTS,['BIO3403E QTS']
BIO3405E QTS,['BIO3405E QTS']
BIO3411 CLCCNS,['BIO3411 CLCCNS']
BIO3504 TNS,"['BIO3504 1TNS', 'BIO3504 2TNS']"
BIO3701 TNS,['BIO3701 TNS']
BIO3802E CLCCNS,"['BIO3802E 1CLCCNS', 'BIO3802E 2CLCCNS']"
